Epoch: 2351; match = 374
Epoch: 2361; match = 374
Epoch: 2371; match = 374
Epoch: 2381; match = 374
Epoch: 2391; match = 374
Epoch: 2401; match = 374
Epoch: 2411; match = 374
Epoch: 2421; match = 374
Epoch: 2431; match = 374
Epoch: 2441; match = 374
Epoch: 2451; match = 374
Epoch: 2461; match = 374
Epoch: 2471; match = 374
Epoch: 2481; match = 374
Epoch: 2491; match = 374
Epoch: 2501; match = 374
Epoch: 2511; match = 374
Epoch: 2521; match = 374
Epoch: 2531; match = 374
Epoch: 2541; match = 374
Epoch: 2551; match = 374
Epoch: 2561; match = 374
Epoch: 2571; match = 374
Epoch: 2581; match = 374
Epoch: 2591; match = 374
Epoch: 2601; match = 374
Epoch: 2611; match = 374
Epoch: 2621; match = 374
Epoch: 2631; match = 374
Epoch: 2641; match = 374
Epoch: 2651; match = 374
Epoch: 2661; match = 374
Epoch: 2671; match = 372
Epoch: 2681; match = 372
Epoch: 2691; match = 368
Epoch: 2701; match = 368
Epoch: 2711; match = 368
Epoch: 2721; match = 368
Epoch: 2731; match = 368
Epoch: 2741; match = 368
Epoch: 2751; match = 368
Epoch: 2761; match = 368
Epoch: 2771; match = 368
Epoch: 2781; match = 368
Epoch: 2791; match = 368
Epoch: 2801; match = 368
Epoch: 2811; match = 368
Epoch: 2821; match = 368
Epoch: 2831; match = 368
Epoch: 2841; match = 368
Epoch: 2851; match = 368
Epoch: 2861; match = 368
Epoch: 2871; match = 368
Epoch: 2881; match = 368
Epoch: 2891; match = 368
Epoch: 2901; match = 368
Epoch: 2911; match = 368
Epoch: 2921; match = 368
Epoch: 2931; match = 368
Epoch: 2941; match = 368
Epoch: 2951; match = 368
Epoch: 2961; match = 368
Epoch: 2971; match = 368
Epoch: 2981; match = 368
Epoch: 2991; match = 368
Epoch: 3001; match = 368
Epoch: 3011; match = 368
Epoch: 3021; match = 368
Epoch: 3031; match = 368
Epoch: 3041; match = 368
Epoch: 3051; match = 368
Epoch: 3061; match = 368
Epoch: 3071; match = 368
Epoch: 3081; match = 368
Epoch: 3091; match = 368
Epoch: 3101; match = 368
Epoch: 3111; match = 368
Epoch: 3121; match = 368
Epoch: 3131; match = 368
Epoch: 3141; match = 368
Epoch: 3151; match = 368
Epoch: 3161; match = 368
Epoch: 3171; match = 368
Epoch: 3181; match = 368
Epoch: 3191; match = 368
Epoch: 3201; match = 368
Epoch: 3211; match = 368
Epoch: 3221; match = 368
Epoch: 3231; match = 368
Epoch: 3241; match = 368
Epoch: 3251; match = 368
Epoch: 3261; match = 368
Epoch: 3271; match = 368
Epoch: 3281; match = 368
Epoch: 3291; match = 368
Epoch: 3301; match = 368
Epoch: 3311; match = 368
Epoch: 3321; match = 368
Epoch: 3331; match = 368
Epoch: 3341; match = 368
Epoch: 3351; match = 368
Epoch: 3361; match = 368
Epoch: 3371; match = 368
Epoch: 3381; match = 368
Epoch: 3391; match = 368
Epoch: 3401; match = 368
Epoch: 3411; match = 368
Epoch: 3421; match = 368
Epoch: 3431; match = 368
Epoch: 3441; match = 368
Epoch: 3451; match = 368
Epoch: 3461; match = 368
Epoch: 3471; match = 368
Epoch: 3481; match = 368
Epoch: 3491; match = 368
Epoch: 3501; match = 368
Epoch: 3511; match = 368
Epoch: 3521; match = 368
Epoch: 3531; match = 368
Epoch: 3541; match = 368
Epoch: 3551; match = 368
Epoch: 3561; match = 368
Epoch: 3571; match = 368
Epoch: 3581; match = 368
Epoch: 3591; match = 368
Epoch: 3601; match = 368
Epoch: 3611; match = 368
Epoch: 3621; match = 368
Epoch: 3631; match = 368
Epoch: 3641; match = 368
Epoch: 3651; match = 368
Epoch: 3661; match = 368
Epoch: 3671; match = 368
Epoch: 3681; match = 368
Epoch: 3691; match = 368
Epoch: 3701; match = 368
Epoch: 3711; match = 368
Epoch: 3721; match = 368
Epoch: 3731; match = 368
Epoch: 3741; match = 368
Epoch: 3751; match = 368
